Codes@  Turb Mdl@ :math:`\alpha (deg)`@       :math:`C_l`@  :math:`C_d`@   :math:`C_{d,v}`@ :math:`C_{d,p}` 

CFL3D@        SA@                    0@        -0.685E-05@      0.00819@                  @  
FUN3D@        SA@                    0@  :math:`\simeq 0`@      0.00812@                  @  
NTS@          SA@                    0@  :math:`\simeq 0`@      0.00813@                  @  
JOE@          SA@                    0@  :math:`\simeq 0`@      0.00812@                  @  
SUMB@         SA@                    0@  :math:`\simeq 0`@      0.00813@                  @  
TURNS@        SA@                    0@  :math:`\simeq 0`@      0.00830@                  @  
GGNS@         SA@                    0@  :math:`\simeq 0`@      0.00817@                  @  
OVERFLOW@     SA@                    0@  :math:`\simeq 0`@      0.00838@                  @  
FLOW360@      SA@                    0@        -8.648E-07@      0.00808@          0.006811@     0.001267

CFL3D@     SA-RC@                    0@        -0.717E-05@      0.00793@                  @           
FUN3D@     SA-RC@                    0@  :math:`\simeq 0`@      0.00790@                  @           
NTS@       SA-RC@                    0@  :math:`\simeq 0`@      0.00792@                  @           
FLOW360@   SA-RC@                    0@        -7.960E-07@      0.00787@          0.006611@ 0.001256    